ID,Status,Start,End,Duration
STU001,Attentive,2026-02-23 02:49:29.325477,2026-02-23 02:49:49.419907,20.1
STU001,Sleeping,2026-02-23 02:49:49.481956,2026-02-23 02:49:55.716438,6.2
STU001,Attentive,2026-02-23 02:49:55.722770,2026-02-23 02:50:01.730092,6.0
STU001,Sleeping,2026-02-23 02:50:01.741106,2026-02-23 02:50:04.330468,2.6
STU001,Attentive,2026-02-23 18:15:31.837976,2026-02-23 18:15:46.143190,14.3
STU001,Sleeping,2026-02-23 18:15:46.180799,2026-02-23 18:15:46.379793,0.2
STU001,Attentive,2026-02-23 18:15:46.386749,2026-02-23 18:15:55.968420,9.6
STU001,Sleeping,2026-02-23 18:15:55.984269,2026-02-23 18:15:58.967214,3.0
STU001,Attentive,2026-02-23 18:15:58.975892,2026-02-23 18:16:01.070008,2.1
STU001,Sleeping,2026-02-23 18:16:01.085074,2026-02-23 18:16:01.566488,0.5
STU001,Attentive,2026-02-23 18:16:01.584215,2026-02-23 18:16:49.840529,48.3
STU001,Sleeping,2026-02-23 18:16:49.856282,2026-02-23 18:16:53.043915,3.2
STU001,Attentive,2026-02-23 18:16:53.062356,2026-02-23 18:16:59.487032,6.4
STU001,Sleeping,2026-02-23 18:16:59.504232,2026-02-23 18:17:01.679911,2.2
STU001,Attentive,2026-02-23 18:17:01.698140,2026-02-23 18:17:04.986987,3.3
STU001,Sleeping,2026-02-23 18:17:04.996604,2026-02-23 18:17:06.383674,1.4
STU001,Attentive,2026-02-23 18:23:50.852572,2026-02-23 18:24:16.351691,25.5
STU001,Sleeping,2026-02-23 18:24:16.360332,2026-02-23 18:24:20.216721,3.9
STU001,Attentive,2026-02-23 18:24:20.232844,2026-02-23 18:24:22.315336,2.1
STU001,Sleeping,2026-02-23 18:24:22.331147,2026-02-23 18:24:25.096819,2.8
STU001,Attentive,2026-02-23 18:24:25.118776,2026-02-23 18:24:34.407433,9.3
STU001,Sleeping,2026-02-23 18:24:34.413457,2026-02-23 18:24:37.785945,3.4
STU001,Attentive,2026-02-23 18:26:07.866631,2026-02-23 18:26:23.153778,15.3
STU001,Attentive,2026-02-23 18:29:17.265800,2026-02-23 18:29:29.589274,12.3
STU001,Sleeping,2026-02-23 18:29:29.596334,2026-02-23 18:29:32.927481,3.3
STU005,Attentive,2026-02-23 18:35:59.788131,2026-02-23 18:36:06.484445,6.7
STU005,Sleeping,2026-02-23 18:36:06.500743,2026-02-23 18:36:12.949239,6.4
STU005,Attentive,2026-02-23 18:36:12.975094,2026-02-23 18:36:22.509679,9.5
STU005,Sleeping,2026-02-23 18:36:22.548736,2026-02-23 18:36:32.854908,10.3
STU005,Attentive,2026-02-23 18:36:32.872679,2026-02-23 18:36:35.064984,2.2
STU005,Sleeping,2026-02-23 18:36:35.084151,2026-02-23 18:36:38.354220,3.3
STU005,Attentive,2026-02-23 18:36:38.364752,2026-02-23 18:36:43.228715,4.9
STU005,Sleeping,2026-02-23 18:36:43.250961,2026-02-23 18:37:12.423786,29.2
STU005,Attentive,2026-02-23 18:37:12.440910,2026-02-23 18:37:20.826006,8.4
STU005,Sleeping,2026-02-23 18:37:20.841891,2026-02-23 18:37:21.970771,1.1
STU001,Attentive,2026-02-23 18:42:16.468216,2026-02-23 18:42:24.111365,7.6
STU001,Sleeping,2026-02-23 18:42:24.137522,2026-02-23 18:42:43.341616,19.2
STU001,Attentive,2026-02-23 18:42:43.363297,2026-02-23 18:43:02.843898,19.5
STU001,Sleeping,2026-02-23 18:43:02.891786,2026-02-23 18:43:24.217999,21.3
